pinx,sale_id,sale_price,sale_date,use_type,area,lot_sf,wfnt,bldg_grade,tot_sf,beds,baths,age,eff_age,longitude,latitude
..1211000185,2012..10111,267950,2012-05-10,sfr,15,3000,0,7,1240,4,2.0,104,104,-122.29816293194,47.6075981522548
..1211000185,2014..18262,375000,2014-06-16,sfr,15,3000,0,7,1240,4,2.0,106,106,-122.29816293194,47.6075981522548
..1211000280,2015..12626,295000,2015-05-04,sfr,15,4500,0,6,750,2,1.0,70,70,-122.297110819325,47.6069588440878
..1211000280,2016..495,465000,2016-01-08,sfr,15,4500,0,6,750,2,1.0,71,71,-122.297110819325,47.6069588440878
..1250200200,2013..10714,459950,2013-04-24,townhouse,15,1751,0,8,1610,3,2.25,0,0,-122.299692055953,47.5976270146595
..1250200201,2013..15350,457000,2013-05-09,townhouse,15,1751,0,8,1610,3,2.25,0,0,-122.299694467411,47.5975447513581
..1250200202,2013..9755,469950,2013-04-16,townhouse,15,1845,0,8,1610,3,2.25,0,0,-122.299449371696,47.5976232110154
..1250200202,2015..16158,550000,2015-05-28,townhouse,15,1845,0,8,1610,3,2.25,2,2,-122.299449371696,47.5976232110154
..1250200203,2013..9745,469950,2013-04-16,townhouse,15,1845,0,8,1610,3,2.25,0,0,-122.299451783178,47.5975409476779
..1250200206,2011..12065,315000,2011-07-06,townhouse,15,1798,0,8,1540,2,2.5,4,4,-122.299700989049,47.5972156235655
..1250200208,2016..6644,625000,2016-03-18,townhouse,15,1799,0,8,1540,2,2.5,9,9,-122.299455919122,47.5972940721037
..1250200210,2016..30379,517125,2016-08-25,townhouse,15,1798,0,8,1540,2,2.5,9,9,-122.299458305869,47.5972118085755
..1250200213,2014..21825,555000,2014-07-24,sfr,15,2460,0,8,2400,4,3.5,114,10,-122.299662939779,47.5969954499619
..1250200216,2012..27655,429990,2012-10-25,sfr,15,3280,0,7,1680,4,2.5,32,8,-122.299665963533,47.5968994802205
..1250200275,2010..499,309950,2010-01-11,townhouse,15,2228,0,7,1810,2,1.5,2,2,-122.298990002282,47.5976159935951
..1250200275,2016..28671,515000,2016-08-19,townhouse,15,2228,0,7,1810,2,1.5,8,8,-122.298990002282,47.5976159935951
..1250200276,2010..4522,307500,2010-03-24,townhouse,15,1365,0,7,1810,2,1.5,2,2,-122.299232683799,47.597619808401
..1250200277,2015..15296,465000,2015-05-27,townhouse,15,1368,0,7,1810,2,1.5,7,7,-122.2992350728,47.5975375439548
..1250200278,2010..374,309950,2010-01-14,townhouse,15,2231,0,7,1810,2,1.5,2,2,-122.298992390573,47.5975337279076
..1250200280,2010..20413,310000,2010-10-27,townhouse,15,1738,0,7,1510,3,2.25,1,1,-122.298954386228,47.5976976915661
..1250200281,2010..19972,320000,2010-10-21,townhouse,15,1858,0,7,1510,3,2.25,1,1,-122.299197067268,47.5977015057985
..1250200281,2015..39200,495000,2015-11-16,townhouse,15,1858,0,7,1510,3,2.25,6,6,-122.299197067268,47.5977015057985
..1250200294,2010..9578,395000,2010-05-17,sfr,15,2386,0,8,1510,2,2.5,8,8,-122.299001843422,47.5978656659838
..1250200345,2014..34231,230000,2014-10-24,sfr,15,2400,0,6,680,3,1.0,111,111,-122.299224805775,47.5982638711857
..1250200358,2016..29691,591700,2016-08-23,sfr,15,3600,0,7,980,2,1.0,99,99,-122.299051898472,47.5986298554798
..1250200359,2015..38992,599000,2015-11-04,townhouse,15,2022,0,8,1690,3,2.25,0,0,-122.298949082963,47.5985463825778
..1250200360,2015..37014,579000,2015-10-12,townhouse,15,1552,0,8,1450,3,2.25,0,0,-122.299191730724,47.598550035395
..1250200414,2015..3608,365000,2015-02-18,townhouse,15,979,0,7,1110,3,2.25,7,7,-122.299620944673,47.5999401025719
..1250200415,2014..15473,352750,2014-06-09,townhouse,15,1241,0,7,1060,2,1.75,6,6,-122.299635144238,47.5998865036022
..1250200416,2013..40145,355000,2013-12-18,townhouse,15,1290,0,7,1110,3,2.5,5,5,-122.299387039189,47.5998794750057
..1250200417,2014..5122,373000,2014-03-07,townhouse,15,1290,0,7,1190,3,2.25,6,6,-122.299385436476,47.5999342485014
..1250200418,2014..14202,345000,2014-05-27,townhouse,15,844,0,7,1180,2,1.5,9,9,-122.299635797795,47.5997818623683
..1250200422,2013..20742,329900,2013-07-03,townhouse,15,1400,0,7,1170,2,1.5,8,8,-122.299636844697,47.599725974133
..1250200426,2015..26801,350000,2015-08-06,townhouse,15,1040,0,7,1180,2,1.5,10,10,-122.29939141198,47.599769969921
..1250200494,2015..27848,459950,2015-08-07,townhouse,15,1254,0,8,1200,2,1.5,0,0,-122.298152871941,47.6002395848781
..1250200495,2015..26747,460000,2015-08-05,townhouse,15,1259,0,8,1200,2,1.5,0,0,-122.298395261246,47.6002428424706
..1250200496,2015..28484,449950,2015-08-07,townhouse,15,960,0,8,1200,2,1.5,0,0,-122.298396759873,47.6001921596378
..1250200497,2015..26731,459950,2015-08-05,townhouse,15,1260,0,8,1200,2,1.5,0,0,-122.298398256608,47.6001414744932
..1250200498,2015..27525,461000,2015-08-07,townhouse,15,1253,0,8,1200,2,1.5,0,0,-122.29815585015,47.6001382068109
..1250200499,2015..30824,449950,2015-09-04,townhouse,15,955,0,8,1200,2,1.5,0,0,-122.298154360741,47.6001888947228
..1250200504,2012..7736,165000,2012-04-13,sfr,15,3000,0,7,1360,3,2.0,97,97,-122.298286155643,47.5998706595404
..1250200504,2013..2877,275000,2013-02-07,sfr,15,3000,0,7,1360,3,2.0,98,98,-122.298286155643,47.5998706595404
..1250200508,2016..40442,649000,2016-11-17,townhouse,15,1103,0,9,1590,3,2.0,0,0,-122.298304404819,47.5997167699083
..1250200510,2016..29106,700000,2016-08-25,townhouse,15,1530,0,9,1850,3,2.0,0,0,-122.298415432519,47.5998018413272
..1250200511,2016..38923,669000,2016-11-04,townhouse,15,1702,0,9,1690,3,2.0,0,0,-122.298172966367,47.5997985435946
..1250200512,2016..32748,685000,2016-09-18,townhouse,15,1540,0,9,1700,3,2.0,0,0,-122.298142516855,47.5997168515602
..1250200535,2012..21824,165000,2012-08-29,sfr,15,3600,0,7,2020,3,1.0,111,111,-122.297802613317,47.599788237657
..1250200552,2015..5597,399950,2015-03-12,townhouse,15,1320,0,7,1610,3,2.5,8,8,-122.297667806265,47.5999982859613
..1250200557,2010..4401,291000,2010-03-06,townhouse,15,1852,0,7,1340,2,1.0,7,7,-122.297850727231,47.6001804572847
..1250200592,2016..5429,612000,2016-03-08,sfr,15,1800,0,7,1680,2,2.5,14,14,-122.298442390507,47.5987026291527
..1250200595,2014..22460,431000,2014-07-24,sfr,15,1959,0,7,1450,4,2.5,112,112,-122.298435557171,47.5985388550918
..1250200595,2016..3186,550000,2016-02-18,sfr,15,1959,0,7,1450,4,2.5,114,114,-122.298435557171,47.5985388550918
..1250200600,2015..9006,390000,2015-04-08,sfr,15,1958,0,7,1240,3,1.0,113,113,-122.298433174382,47.5986208189196
..1250200615,2010..19316,488000,2010-10-07,sfr,15,2070,0,9,1720,3,2.5,0,0,-122.298437942807,47.5982109006104
..1250200615,2012..1804,476000,2012-02-03,sfr,15,2070,0,9,1720,3,2.5,2,2,-122.298437942807,47.5982109006104
..1250200616,2016..40334,570000,2016-11-17,sfr,15,2073,0,7,1270,3,1.75,112,112,-122.298435294814,47.5982928330721
..1250200645,2016..15263,460000,2016-05-24,sfr,15,3600,0,7,1350,3,1.0,101,101,-122.29783576619,47.5986938760474
..1250200680,2014..5365,574950,2014-03-06,townhouse,15,1944,0,8,1900,3,3.25,0,0,-122.29846264963,47.5976902010649
..1250200681,2014..3510,574950,2014-02-13,townhouse,15,1943,0,8,1900,3,3.25,0,0,-122.298460210215,47.5977724871119
..1250200682,2014..8911,567450,2014-04-16,townhouse,15,1650,0,8,2070,3,3.25,0,0,-122.298217341884,47.5977688873508
..1250200683,2014..6776,574950,2014-03-11,townhouse,15,1651,0,8,2070,3,3.25,0,0,-122.298219790673,47.5976865811091
..1250200693,2014..21326,515000,2014-07-18,sfr,15,2409,0,8,2100,3,3.0,6,6,-122.29849697638,47.5972997202539
..1250200695,2012..11681,462500,2012-05-29,townhouse,15,1871,0,8,2210,4,3.0,4,4,-122.298250181666,47.5974421654483
..1250200699,2014..7845,425000,2014-04-08,sfr,15,2554,0,8,2180,3,2.5,6,6,-122.298254176688,47.5972868191772
..1250200721,2010..60,400000,2010-01-05,townhouse,15,2269,0,8,1500,3,3.5,1,1,-122.297994508872,47.596869081303
..1250200722,2010..11346,329000,2010-06-10,townhouse,15,1260,0,8,1240,2,2.0,1,1,-122.29800244005,47.5969420790406
..1250200722,2015..41162,455000,2015-12-04,townhouse,15,1260,0,8,1240,2,2.0,6,6,-122.29800244005,47.5969420790406
..1250200723,2010..2453,341000,2010-02-24,townhouse,15,1260,0,8,1240,2,2.0,1,1,-122.298000813648,47.596996930779
..1250200724,2010..14870,319000,2010-07-27,townhouse,15,1135,0,8,1240,2,2.0,1,1,-122.297758040104,47.5969931383302
..1250200735,2012..7098,282000,2012-04-11,sfr,15,5400,0,7,2410,5,3.0,106,106,-122.297883102204,47.5970843407042
..1250200735,2015..28556,585000,2015-08-20,sfr,15,5400,0,7,2410,5,3.0,109,109,-122.297883102204,47.5970843407042
..1250200763,2012..22138,293000,2012-08-29,townhouse,15,1796,0,8,1322,3,2.25,7,7,-122.297989275739,47.5976007489092
..1250200763,2015..25897,450000,2015-07-27,townhouse,15,1796,0,8,1322,3,2.25,10,10,-122.297989275739,47.5976007489092
..1250200765,2014..20344,350000,2014-07-14,townhouse,15,1796,0,8,1322,3,2.25,9,9,-122.297746426014,47.5975971353885
..1250200767,2012..32751,271000,2012-12-12,townhouse,15,1796,0,8,1322,3,2.25,7,7,-122.297991694244,47.5975184237481
..1250200786,2012..10992,190000,2012-05-18,sfr,15,2400,0,6,2120,5,2.0,106,106,-122.297130917958,47.597876499481
..1250200786,2015..1595,360000,2015-01-22,sfr,15,2400,0,6,2120,5,2.0,109,109,-122.297130917958,47.597876499481
..1250200830,2016..11550,380000,2016-04-26,sfr,15,5160,0,7,1420,3,1.75,60,60,-122.296670988201,47.5969735944763
..1250200830,2016..33075,525000,2016-09-22,sfr,15,5160,0,7,1420,3,1.75,60,60,-122.296670988201,47.5969735944763
..1250200839,2016..23332,435000,2016-07-15,sfr,15,5160,0,7,1190,3,1.0,60,60,-122.29666419033,47.5972095692241
..1250200840,2010..22229,265500,2010-11-19,sfr,15,5040,0,7,1570,5,1.0,52,52,-122.296674375635,47.5968570153822
..1250200840,2015..20886,467500,2015-06-29,sfr,15,5040,0,7,1570,5,1.0,57,57,-122.296674375635,47.5968570153822
..1250200875,2015..27360,525000,2015-08-07,sfr,15,2400,0,7,1670,3,3.5,13,13,-122.296483452243,47.5978670864119
..1250200880,2015..15623,452000,2015-05-29,sfr,15,2400,0,7,1560,2,1.75,19,19,-122.296645538578,47.5978694426087
..1250200995,2013..23519,485000,2013-07-23,sfr,15,3600,0,6,1720,3,1.75,106,106,-122.295372256328,47.5998933616486
..1250201130,2013..14514,160000,2013-05-19,sfr,15,3240,0,7,1510,4,2.0,112,112,-122.295935254375,47.597245578261
..1250201130,2015..2472,410000,2015-02-06,sfr,15,3240,0,7,1510,4,2.0,114,114,-122.295935254375,47.597245578261
..1250201140,2016..7866,502582,2016-03-21,sfr,15,7200,0,6,1420,3,1.0,60,60,-122.295941449523,47.5970362004981
..1250201165,2014..36554,441000,2014-11-21,sfr,15,3600,0,6,2300,5,2.75,27,27,-122.295457104626,47.5970705924431
..1250201165,2015..6303,474500,2015-03-17,sfr,15,3600,0,6,2300,5,2.75,28,28,-122.295457104626,47.5970705924431
..1250201175,2015..6734,386500,2015-03-23,sfr,15,3600,0,6,1400,4,1.0,114,114,-122.295454589484,47.5971528269213
..1250201175,2016..26860,620000,2016-08-10,sfr,15,3600,0,6,1400,4,1.0,115,115,-122.295454589484,47.5971528269213
..1250201194,2014..34672,449000,2014-11-07,sfr,15,6600,0,7,1270,3,1.75,111,111,-122.295442918636,47.5975297297919
..1250201199,2016..22484,450000,2016-07-11,sfr,15,7200,0,7,1220,3,1.0,107,107,-122.295438042653,47.5976873452291
..1250201265,2015..26900,829950,2015-08-06,townhouse,15,1920,0,9,2100,3,2.5,0,0,-122.294659699178,47.5993599106728
..1250201266,2015..24996,719950,2015-07-29,townhouse,15,1520,0,9,1610,3,2.5,0,0,-122.294656153029,47.5994778852418
..1250201267,2015..25899,739950,2015-07-31,townhouse,15,1360,0,9,1610,3,2.5,0,0,-122.294653181274,47.5995765723203
..1250201270,2015..27251,799950,2015-08-12,townhouse,15,1913,0,9,2100,3,2.5,0,0,-122.294497833262,47.5993577502903
..1250201271,2015..32647,699950,2015-09-17,townhouse,15,1517,0,9,1630,3,2.5,0,0,-122.294494276149,47.5994756217399
..1250201272,2015..28000,719950,2015-08-17,townhouse,15,1360,0,9,1630,3,2.5,0,0,-122.294491289337,47.5995743910301
..1250201325,2016..24167,1400000,2016-07-06,sfr,15,9180,0,8,2460,4,3.25,100,100,-122.292962950219,47.6001358990352
..1250201350,2010..2127,899000,2010-01-25,sfr,15,5100,0,10,3680,4,2.5,7,7,-122.293424666789,47.5994970213309
..1250201350,2010..2128,899000,2010-02-12,sfr,15,5100,0,10,3680,4,2.5,7,7,-122.293424666789,47.5994970213309
..1250201350,2015..14887,1149000,2015-05-15,sfr,15,5100,0,10,3680,4,2.5,12,12,-122.293424666789,47.5994970213309
..1250201405,2013..13113,1075000,2013-05-15,sfr,15,7920,0,10,4390,6,3.25,109,109,-122.293520566388,47.5989642331199
..1250201550,2014..29803,735000,2014-09-25,sfr,15,3600,0,8,1610,3,2.0,89,89,-122.29297271369,47.5969142832558
..1250201565,2013..8120,505000,2013-04-04,sfr,15,3600,0,8,1700,3,3.0,89,8,-122.292969442319,47.5970239515449
..1250201610,2013..11972,1075000,2013-04-26,sfr,14,5600,0,9,3030,3,3.25,108,8,-122.292378748422,47.5977842726404
..1250201610,2015..11244,1220000,2015-04-17,sfr,14,5600,0,9,3030,3,3.25,110,10,-122.292378748422,47.5977842726404
..1250201640,2014..11920,775000,2014-05-07,sfr,14,7200,0,8,2540,3,2.0,109,109,-122.292296562566,47.5971527660322
..1250201645,2010..17076,879000,2010-09-01,sfr,14,7200,0,8,2548,3,2.0,105,105,-122.292301550657,47.5969883542852
..1250201680,2015..12576,934550,2015-05-07,sfr,14,5900,0,9,2320,4,3.25,105,105,-122.291812635454,47.5969969270102
..1250201710,2011..2590,787000,2011-02-18,sfr,14,6240,0,8,1660,3,2.5,111,1,-122.291796062471,47.597615269498
..1250201710,2015..21049,985000,2015-06-30,sfr,14,6240,0,8,1660,3,2.5,115,5,-122.291796062471,47.597615269498
..1250201730,2013..20030,640000,2013-06-17,sfr,14,9600,0,7,2140,3,2.0,88,88,-122.291061838497,47.5977668830453
..1250201745,2012..28476,720000,2012-10-25,sfr,14,4800,0,8,2180,4,2.75,86,86,-122.29107106113,47.5974657421299
..1250201750,2013..41224,875000,2013-11-24,sfr,14,4800,0,8,3110,4,3.25,89,89,-122.291074366955,47.5973566311325
..1250201750,2015..29874,1310000,2015-08-26,sfr,14,4800,0,8,3110,4,3.25,91,91,-122.291074366955,47.5973566311325
..1250201775,2016..38418,1413000,2016-10-28,sfr,14,6000,0,10,3080,4,3.25,95,13,-122.291082313141,47.5970962523519
..1250201785,2012..3934,1132750,2012-03-02,sfr,14,7200,0,9,3970,4,3.0,102,102,-122.291086948069,47.5969455247339
..1250201795,2011..16126,840000,2011-08-25,sfr,14,6000,0,8,3600,5,2.5,101,101,-122.291091522917,47.5967947779228
..1250201820,2016..8352,1200000,2016-04-01,sfr,14,6000,0,10,2690,4,3.0,26,26,-122.290599867861,47.596979761459
..1250201920,2016..7778,765000,2016-03-30,sfr,14,7380,0,7,1520,3,1.75,55,55,-122.290579338523,47.5952246527642
..1250201950,2012..28337,640000,2012-10-30,sfr,14,4920,0,7,2400,5,1.75,87,87,-122.290594954153,47.5947723647891
..1250201955,2010..7737,280000,2010-04-27,sfr,14,4920,0,7,2810,4,1.75,57,57,-122.290605592062,47.5944421289761
..1250201995,2011..11055,377000,2011-06-23,sfr,14,2490,0,7,1300,2,1.0,102,4,-122.2906479275,47.5930843848512
..1250202020,2013..17777,1175000,2013-06-05,sfr,14,4980,0,9,3050,4,2.5,0,0,-122.290663036998,47.5926321391178
..1250202025,2011..11472,1135000,2011-06-28,sfr,14,4980,0,9,3660,3,2.5,1,1,-122.290668530107,47.5924676913865
..1250202030,2010..16758,739000,2010-08-25,sfr,14,4182,0,9,2590,3,2.0,100,100,-122.290664073338,47.592127142357
..1250202030,2014..328,750000,2014-01-06,sfr,14,4182,0,9,2590,3,2.0,104,104,-122.290664073338,47.592127142357
..1250202055,2011..4637,557000,2011-03-28,sfr,14,3780,0,8,2840,4,2.75,82,82,-122.290698895125,47.591624931189
..1250202115,2015..1141,615000,2015-01-20,sfr,14,5100,0,7,1670,3,1.75,61,61,-122.290760655189,47.5898403929969
..1250202140,2013..7930,635000,2013-04-01,sfr,14,4500,0,8,4000,5,3.5,60,0,-122.290805336472,47.5888368410434
..1250202140,2014..4871,1180000,2014-03-05,sfr,14,4500,0,8,4000,5,3.5,61,1,-122.290805336472,47.5888368410434
..1250202145,2014..26909,1072000,2014-08-28,sfr,14,14864,0,8,3900,2,2.25,67,67,-122.290880148256,47.5883773159581
..1250202160,2012..19007,475000,2012-08-01,sfr,14,4100,0,7,1960,4,2.75,70,70,-122.29120010257,47.5882493894198
..1250202195,2012..29319,715000,2012-11-08,sfr,14,5160,0,8,2340,3,3.5,21,21,-122.29091998253,47.5875323660494
..1250202255,2014..16128,647500,2014-06-05,sfr,14,3870,0,7,1290,3,1.75,98,98,-122.290203977846,47.5872409916377
..1250202285,2014..33033,908800,2014-10-20,sfr,14,7826,0,8,3420,3,3.0,75,75,-122.289756659451,47.5872499535571
..1250202315,2011..25438,610000,2011-12-20,sfr,14,7200,0,7,3370,4,2.25,35,35,-122.290136764254,47.5886795497964
..1250202324,2015..1839,610000,2015-01-22,sfr,14,8400,0,8,2640,4,2.75,68,68,-122.29015260741,47.5881999823478
..1250202334,2013..34336,899950,2013-10-23,sfr,14,5530,0,10,2610,3,2.5,20,20,-122.290245284116,47.5878721530302
..1250202350,2011..7904,540000,2011-05-12,sfr,14,6076,0,7,1440,2,1.0,90,90,-122.289700015367,47.5880189116439
..1250202380,2013..41535,975000,2013-12-17,sfr,14,6300,0,9,2820,4,2.0,82,12,-122.289686432901,47.5885093646819
..1250202380,2013..41536,975000,2013-12-17,sfr,14,6300,0,9,2820,4,2.0,82,12,-122.289686432901,47.5885093646819
..1250202380,2016..5016,1025000,2016-03-03,sfr,14,6300,0,9,2820,4,2.0,85,15,-122.289686432901,47.5885093646819
..1250202400,2016..943,725000,2016-01-20,sfr,14,9000,0,7,2790,4,1.5,106,106,-122.29011192978,47.589480143702
..1250202415,2016..23251,1250000,2016-07-04,sfr,14,5752,0,9,2430,3,3.25,85,85,-122.290231290074,47.5890369016365
..1250202430,2014..16238,799000,2014-06-11,sfr,14,6300,0,8,2210,3,1.5,98,98,-122.289665392901,47.5891675311725
..1250202501,2015..17509,1630000,2015-06-10,sfr,14,4200,0,9,3530,4,3.5,0,0,-122.290084004171,47.5903731014772
..1250202546,2010..4799,1300000,2010-03-16,sfr,14,8400,0,10,5320,5,4.0,8,8,-122.289633916544,47.5901821109668
..1250202575,2013..3819,673500,2013-02-26,sfr,14,6300,0,8,3060,4,3.5,104,19,-122.289617707804,47.5907022558563
..1250202645,2014..9245,1349000,2014-04-17,sfr,14,7350,0,10,3770,5,4.25,105,7,-122.289597774111,47.5913189795032
..1250202660,2016..30553,1525000,2016-08-31,sfr,14,6300,0,9,4000,5,3.5,0,0,-122.289586535963,47.5916331324194
..1250202740,2014..22637,998000,2014-07-24,sfr,14,3927,0,9,2850,5,3.25,71,36,-122.289595723665,47.5940154261269
..1250202760,2013..3583,465000,2013-02-21,sfr,14,5040,0,7,1500,4,1.0,89,89,-122.289984871999,47.5938364519026
..1250202765,2015..17394,1615000,2015-06-05,sfr,14,3927,0,9,3160,4,3.25,6,6,-122.289600057569,47.5938742067929
..1250202916,2012..9587,495000,2012-05-03,sfr,14,4620,0,8,2460,5,2.5,31,31,-122.289926208873,47.5974512314161
..1250202918,2011..4700,821500,2011-03-21,sfr,14,5415,0,9,3390,4,3.0,61,23,-122.289692221693,47.5972253877416
..1250202934,2012..33018,712200,2012-12-11,sfr,14,5170,0,9,2660,4,2.5,59,11,-122.289614051009,47.5970364664782
..1250202934,2016..44075,960000,2016-12-15,sfr,14,5170,0,9,2660,4,2.5,63,15,-122.289614051009,47.5970364664782
..1250202990,2014..17195,881000,2014-06-11,sfr,14,4125,0,8,2510,5,3.0,89,89,-122.289968438607,47.5967580105517
..1250203000,2012..8811,560000,2012-04-27,sfr,14,5775,0,7,2190,3,2.75,87,87,-122.289425533531,47.5967485585502
..1250203050,2012..16778,639000,2012-07-13,sfr,14,2400,0,8,2260,3,1.75,87,6,-122.288054034433,47.5992878231598
..1250203060,2014..232,612415,2014-01-02,sfr,14,2400,0,8,2710,3,2.75,90,29,-122.287891362553,47.5992858475778
..1250203070,2014..13615,1400000,2014-05-14,sfr,14,7200,0,10,2550,3,2.5,33,1,-122.288044320842,47.5996167290814
..1250203090,2013..34283,738000,2013-10-18,sfr,14,3780,0,9,1920,4,2.75,102,102,-122.288032225407,47.6000153074654
..1250203092,2012..10776,665000,2012-05-18,sfr,14,3420,0,9,2030,3,2.25,99,99,-122.28803107572,47.6000989791845
..1250203105,2010..17031,1636000,2010-08-18,sfr,14,7200,0,11,2610,3,2.25,32,12,-122.288562248876,47.598609190173
..1250203105,2013..16833,1800000,2013-06-11,sfr,14,7200,0,11,2610,3,2.25,35,15,-122.288562248876,47.598609190173
..1250203105,2015..25905,1980000,2015-07-28,sfr,14,7200,0,11,2610,3,2.25,37,17,-122.288562248876,47.598609190173
..1250203135,2010..21585,685000,2010-11-16,sfr,14,6000,0,8,1860,3,1.75,51,51,-122.28809191772,47.5980959659787
..1250203135,2014..19270,725000,2014-07-01,sfr,14,6000,0,8,1860,3,1.75,55,55,-122.28809191772,47.5980959659787
..1250203155,2013..4322,1040000,2013-02-24,sfr,14,4800,0,9,4170,4,4.25,113,1,-122.288082517122,47.598383093816
..1250203165,2013..11705,668000,2013-04-09,sfr,14,3600,0,8,2600,3,2.5,85,85,-122.288079038384,47.5984795128079
..1250203170,2010..4475,1000000,2010-03-02,sfr,14,8400,0,9,3850,4,4.25,95,95,-122.288074685802,47.5986165319468
..1250203190,2012..3184,1000000,2012-02-23,sfr,14,14400,0,9,3830,4,3.75,11,11,-122.28859183915,47.5976777453951
..1250203255,2010..8509,550500,2010-04-26,sfr,14,4050,0,8,1870,3,2.0,68,11,-122.288057960897,47.5971150377098
..1250203270,2010..22919,1100000,2010-12-08,sfr,14,7200,0,10,4710,5,3.25,2,2,-122.288113264526,47.5974247262288
..1250203305,2010..15353,652600,2010-07-30,sfr,14,3150,0,8,2580,2,2.0,101,16,-122.288639213575,47.5951957363155
..1250203335,2014..14616,1050000,2014-05-27,sfr,14,7200,0,8,2920,4,2.5,93,8,-122.288198768368,47.59473769138
..1250203340,2014..13191,700000,2014-05-19,sfr,14,7200,0,8,2270,4,2.5,62,62,-122.288193281317,47.5949022573277
..1250203360,2012..19312,1900000,2012-07-26,sfr,14,6300,0,11,3990,4,4.75,4,4,-122.288140950105,47.5955601572879
..1250203445,2010..23554,983150,2010-12-16,sfr,14,7324,0,10,3730,4,3.5,69,19,-122.28821846595,47.5944055377048
..1250203484,2012..27554,1256500,2012-10-12,sfr,14,5985,0,9,3400,4,2.75,0,0,-122.28871129371,47.5926244280977
..1250203515,2014..4646,825000,2014-02-25,sfr,14,5723,0,10,2140,2,2.25,29,29,-122.288307958947,47.5929311314175
..1250203520,2016..20426,1305000,2016-06-22,sfr,14,5600,0,11,3460,3,2.5,29,29,-122.288303005804,47.593095587057
..1250203640,2012..5375,629900,2012-03-15,sfr,14,6300,0,8,3290,3,3.0,89,89,-122.288824626659,47.5894850762492
..1250203675,2016..33699,845000,2016-09-12,sfr,14,7200,0,7,2570,2,1.0,92,92,-122.288373014797,47.5893146856852
..1250203715,2013..12432,1071000,2013-05-08,sfr,14,6300,0,8,3240,5,3.0,90,90,-122.28887226557,47.5880046516984
..1250203725,2010..120,650000,2010-01-08,sfr,14,7200,0,8,2910,4,2.5,31,31,-122.288421894427,47.5878334784049
..1250203725,2012..3991,777000,2012-03-01,sfr,14,7200,0,8,2910,4,2.5,33,33,-122.288421894427,47.5878334784049
..1250203747,2011..20101,549900,2011-10-21,sfr,14,6000,0,8,2120,3,2.0,60,60,-122.288395915765,47.5886146000037
..1250203751,2013..2316,585000,2013-01-31,sfr,14,6000,0,8,2300,3,2.0,62,8,-122.288391367601,47.5887516359693
..1250203800,2011..16302,670000,2011-08-26,sfr,14,5999,0,8,1390,3,1.75,86,86,-122.287743890051,47.5874958186866
..1250203810,2012..6748,560000,2012-04-02,sfr,14,7200,0,8,3020,3,2.5,52,52,-122.287708745081,47.5873307965833
..1250203850,2011..20161,600000,2011-10-26,sfr,14,7200,0,7,1720,3,1.0,91,91,-122.287222472773,47.5873255376671
..1250203853,2013..14974,785000,2013-05-22,sfr,14,4200,0,8,1430,3,1.75,93,93,-122.287115826836,47.5874892795615
..1250203860,2014..34050,759000,2014-10-30,sfr,14,7200,0,7,2260,3,2.0,73,73,-122.287665325085,47.5886466099109
..1250203865,2012..10254,518000,2012-05-10,sfr,14,7200,0,8,2950,5,1.75,72,72,-122.287670774722,47.5884821647696
..1250203910,2016..22414,703000,2016-07-12,sfr,14,6900,0,7,1760,2,1.0,90,90,-122.287198326595,47.5879846065554
..1250203920,2011..3170,450000,2011-03-07,sfr,14,4800,0,8,2620,3,2.75,50,50,-122.28719090905,47.588285348409
..1250203959,2014..3426,440000,2014-02-13,sfr,14,4800,0,7,1560,1,1.0,98,98,-122.28764823543,47.5891943071553
..1250203985,2012..25927,580555,2012-10-08,sfr,14,7200,0,8,3190,3,1.5,64,64,-122.287163658601,47.589133558371
..1250204100,2011..24120,700000,2011-12-11,sfr,14,4800,0,9,2340,3,2.75,33,33,-122.287510922033,47.5974199731086
..1250204100,2016..34921,1090000,2016-10-03,sfr,14,4800,0,9,2340,3,2.75,38,38,-122.287510922033,47.5974199731086
..1250204130,2015..29282,824500,2015-08-19,sfr,14,2680,0,9,2170,3,2.75,105,32,-122.287509833839,47.5980753007152
..1250204560,2012..11302,1150000,2012-05-23,sfr,14,12620,1,8,1120,2,1.75,70,70,-122.286648477554,47.5920044562816
..1250204565,2010..15311,1325000,2010-08-04,sfr,14,12846,1,9,1900,3,2.5,29,29,-122.286590091671,47.591893704549
..1250204575,2016..31855,3850000,2016-09-08,sfr,14,20052,1,10,4140,4,4.0,10,10,-122.286458593946,47.5916442372181
..1250204675,2012..32291,1764072,2012-12-05,sfr,14,6560,1,10,3340,5,3.5,37,37,-122.285259731804,47.5894594275037
..1250204705,2015..30,3350000,2015-01-05,sfr,14,43352,1,9,3500,3,2.5,91,91,-122.285206779453,47.588527332291
..1250204755,2014..24102,2600000,2014-08-01,sfr,14,24324,1,8,2310,3,3.25,89,89,-122.285356115608,47.5874594745958
..1250204795,2010..17816,2385000,2010-09-13,sfr,14,17583,1,10,2770,4,2.5,79,79,-122.285648015966,47.5867799745454
..1250204822,2011..7865,555100,2011-05-12,sfr,14,3767,0,8,2430,3,2.0,64,64,-122.286668130227,47.5872070593091
..1250204835,2014..27465,1240000,2014-09-08,sfr,14,6990,0,9,3330,4,3.0,86,86,-122.286457559673,47.5886329608808
